brand,model,cpu,gpu,gpu_memory,ram,storage,display_specs,battery,webcam,connections,weight,warranty,fingerprint,ssd_support,ram_gb,price_idr,screen_specs,laptop_type
Lenovo,LOQ 15IAX9,Intel® Core i5-12450HX,NVIDIA® GeForce RTX™ 4050,6GB GDDR6,24GB 2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",60Wh,HD 720p with E-Shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",2.38 kg,1 year,,Unknown,24.0,20288452,"1920x1080, 144 Hz",Gaming / Creator
Lenovo,LOQ 15IAX9,Intel® Core™ i5-12450HX,NVIDIA® GeForce RTX™ 3050,6GB GDDR6,1x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",Integrated 60Wh,HD 720p with E-Shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",2.38 kg,1 Year,,Unknown,1.0,16172643,"1920x1080, 144 Hz",Gaming / Creator
HP,Victus 15-FA1021NIA,Intel Core i7-13700H,Nvidia GeForce RTX 3050 6GB,6 GB GDDR6,8 GB DDR4-3200 MT/s (1 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,"39.6 cm (15.6"") diagonal, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",2.29 kg,1 Year,,Unknown,8.0,19532557,"1920 x 1080, 144 Hz",Gaming / Creator
Lenovo,LOQ 15IRX10,Intel® Core i7-14700HX,Nvidia GeForce RTX 5050 8GB,8GB GDDR7,24GB 2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",60Wh,5.0MP with E-shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with USB PD 65-100W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",2.4 kg,2 years,,Unknown,24.0,23963656,"1920 x 1080, 144 Hz",Gaming / Creator
Lenovo,Lenovo Legion Pro 5 16IAX10H,Intel Core Ultra 9 275HX,NVIDIA® GeForce RTX™ 5070 Ti 12GB,12GB GDDR7,32GB 2x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe,"16"" WQXGA (2560x1600) OLED 500nits Glossy, 100% DCI-P3, 165Hz, DisplayHDR™ True Black 1000, Dolby Vision®, G-SYNC®",80Wh,5.0MP with E-shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-A (USB 10Gbps / USB 3.2 Gen 2), Always On 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with USB PD 65-100W and DisplayPort™ 2.1 1x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with DisplayPort™ 2.1 1x HDMI® 2.1, up to 8K/",2.42 kg,1Year,,Unknown,32.0,63997039,"2560x1600, 165 HZ",Gaming / Creator
Lenovo,Legion Pro 5 16IRX9,Intel Core i9-14900HX,Nvidia GeForce RTX 4070 8GB,8GB GDDR6,32GB 2x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,"16"" WQXGA IPS 500nits Anti-glare, 100% DCI-P3, 240Hz, DisplayHDR™ 400, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance",80Wh,FHD 1080p with Privacy Shutter,"1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On 3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60H",2.5 kg,1 year,,Unknown,32.0,41397685,"2560 x 1600, 240 HZ",Gaming / Creator
MSI,Crosshair 16 HX AI D2XWFKG,Intel Core Ultra 7 255HX,Nvidia GeForce RTX 5060,8GB GDDR7,16GB DDR5 8GB*2,1TB NVMe PCIe SSD Gen4x4,"16"" Inch 16:10 QHD+, 240Hz, 100% DCI-P3, IPS-level panel",4-Cell 90Whr Battery (Whr),HD type (30fps@720p) 3D Noise Reduction (3DNR),1x Thunderbolt™ 4 (DisplayPort™/ Power Delivery 3.0) 3x Type-A USB3.2 Gen1 1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz),2.5 kg,2 Years,,Unknown,16.0,30738578,"2560 x 1600, 240 HZ",Gaming / Creator
MSI,Crosshair 16 HX AI D2XWGKG,Intel Core Ultra 7 255HX,Nvidia GeForce RTX 5070 8GB,8GB GDDR7,16GB DDR5 8GB*2,1TB NVMe PCIe SSD Gen4x4,"16"" Inch 16:10 QHD+, 240Hz, 100% DCI-P3, IPS-level panel",4-Cell 90Whr Battery (Whr),HD type (30fps@720p) 3D Noise Reduction (3DNR),1x Thunderbolt™ 4 (DisplayPort™/ Power Delivery 3.0) 3x Type-A USB3.2 Gen1 1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz),2.5 kg,2 Years,,Unknown,16.0,34178419,"2560 x 1600, 240 HZ",Gaming / Creator
MSI,Vector 16 HX AI A2XWHG,Intel Core Ultra 7 255HX,Nvidia GeForce RTX 5070Ti 12GB,12GB GDDR7,16GB DDR5 8GB*2,1TB NVMe PCIe SSD Gen4x4,"16"" Inch 16:10 QHD+, 240Hz, 100% DCI-P3, IPS-level panel",4-Cell 90 Battery (Whr),IR FHD type (30fps@1080p) with HDR 3D Noise Reduction+ (3DNR+),2x Thunderbolt™ 5 (DisplayPort™/ Power Delivery 3.1) 2x Type-A USB3.2 Gen2 1x SD Express Card Reader 1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz),2.7 kg,2 Years,,Unknown,16.0,63360669,"2560 x 1600, 240 HZ",Gaming / Creator
ASUS,ROG Strix G16 G614FR-G4032W,AMD Ryzen 9 9955HX,Nvidia GeForce RTX 5070Ti 12GB,12GB GDDR7,"32GB (16GB DDR5-5600 SO-DIMM, *2)",1TB PCIe® 4.0 NVMe™ M.2 SSD,16-inch 2.5K WQXGA 16:10 aspect ratio Refresh Rate: 240Hz Response Time (G2G): 3ms Viewing Angle: 170 Panel Tech: IPS-level Brightness: 500nits Contrast Ratio: 1200:1 DCI-P3 %: 100% Anti-glare display G-Sync Pantone Validated ROG Nebula Display Support Do,"90WHrs, 4S1P, 4-cell Li-ion",1080p FHD camera,"1x RJ45 LAN port   1x Type-C USB 4 with support for DisplayPort™ / G-SYNC (data speed up to 40Gbps)   1x Type-C USB 4 with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 40Gbps)   2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps)""",2.50 Kg,1 year,,Unknown,32.0,51552815,"2560 x 1600, 240 HZ",Gaming / Creator
Lenovo,LOQ 15IAX9E,Intel Core i7-12650HX,Nvidia GeForce RTX 4050 6GB,6GB GDDR6,1x 16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz",57Wh,HD 720p with Privacy Shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 5Gbps / USB 3.2 Gen 1), data transfer only 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Card reader 1x Power connector",1.77 kg,1 year,,Unknown,1.0,21389793,"1920 x 1080, 144 Hz",Gaming / Creator
ASUS,TUF Gaming F16 FX607VU-RL007W,Intel Core i7-13620H,Nvidia GeForce RTX 4050 6GB,6GB GDDR6,16GB DDR5-5600 SO-DIMM,512GB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch, FHD+ 16:10 (1920 x 1200, WUXGA), Value IPS-level, Anti-glare display, Refresh Rate:144Hz, Response Time:7ms, G-Sync, MUX Switch + NVIDIA® Advanced Optimus","56WHrs, 4S1P, 4-cell Li-ion",720P HD camera,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 10Gbps) 1x RJ45 LAN port 1x Thunderbolt™ 4 with support for Displa,2.20 Kg,1 year,,Unknown,16.0,22607197,"1920 x 1200, 144 Hz",Gaming / Creator
ASUS,TUF Gaming F16 FX607VJ-RL165W,Intel Core 5 210H,Nvidia GeForce RTX 3050,,16GB DDR4,512GB PCIe® 4.0 NVMe™ M.2 SSD,"16 FHD+ 16:10 (1920 x 1200, WUXGA) 144HZ","56WHrs, 4S1P, 4-cell Li-ion",720P HD camera,,2.20 Kg,1 year,,Unknown,16.0,22015851,"1920 x 1200, 144 Hz",Gaming / Creator
ASUS,ProArt P16 H7606WP-ME021X,AMD Ryzen AI 9 HX 370,Nvidia GeForce RTX 5070 8GB,8GB GDDR7,64GB LPDDR5X on board,2TB M.2 NVMe PCIe 4.0 SSD,"16.0-inch 4K OLED 16:10 aspect ratio 0.2ms response time Brightness 400nits 100% DCI-P3 color gamut Contrast ratio 1,000,000 Screen-to-body ratio 88% stylus support","90WHrs, 4S1P, 4-cell Li-ion",FHD camera with IR function to support Windows Hello,1x USB 3.2 Gen 2 Type-C with support for display / power delivery (data speed up to 10Gbps) 1x USB 4.0 Gen 3 Type-C with support for display / power delivery (data speed up to 40Gbps) 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x HDMI 2.1 FRL 1x 3.,1.85 kg,1 year,,Unknown,64.0,60797187,"3840 x 2400, 60 Hz",Gaming / Creator
Lenovo,LOQ 15IAX9E,Intel® Core i5-12450HX,Nvidia GeForce RTX 4050 6GB,6GB GDDR6,1x 16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz",57Wh,HD 720p with Privacy Shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 5Gbps / USB 3.2 Gen 1), data transfer only 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Card reader 1x Power connector",1.77 kg,1 year,,Unknown,1.0,18259503,"1920 x 1080, 144 Hz",Gaming / Creator
ASUS,Vivobook 16X K3605VC-RP005W,Intel Core i5-13420H,Nvidia GeForce RTX 3050 4GB,4GB GDDR6,16GB 8GB DDR4 on board 8GB DDR4 SO-DIMM,512GB M.2 NVMe™ PCIe® 4.0 SSD,"16.0-inch, WUXGA 16:10 aspect ratio, IPS-level Panel, LED Backlit, 144Hz refresh rate, 300nits, 45% NTSC color gamut, Anti-glare display, TÜV Rheinland-certified, (Screen-to-body ratio)86%","50WHrs, 3S1P, 3-cell Li-ion",720p HD camera With privacy shutter,1x USB 3.2 Gen 1 Type-C with support for power delivery (data speed up to 5Gbps) 2x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps) 1x HDMI 2.1 TMDS 1x 3.5mm Combo Audio Jack 1x DC-in SD 4.0 card reader,1.80 kg,1 year,,Unknown,16.0,19129202,"1920 x 1200, 144 Hz",Gaming / Creator
HP,Victus 15-FA1095NE,Intel Core i5-13420H,Nvidia GeForce RTX 2050 4GB,4 GB GDDR6,8 GB DDR4-3200 MT/s (1 x 8 GB),1 TB PCIe® NVMe™ SSD,"39.6 cm (15.6"") diagonal, FHD (1920 x 1080), IPS, micro-edge, anti-glare, 250 nits, 45% NTSC","3-cell, 52.5 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",,1 year,,Unknown,8.0,15650928,1920 x 1080,Gaming / Creator
Lenovo,LOQ 15IRX10,Intel Core i7-14700HX,Nvidia GeForce RTX 5060 8GB,8GB GDDR7,24GB 2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",60Wh,5.0MP with E-shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with USB PD 65-100W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",2.4 kg,2 Years,,Unknown,24.0,26450498,"1920 x 1080, 144 Hz",Gaming / Creator
Lenovo,LOQ 15IRX10,Intel Core i7-14700HX,Nvidia GeForce RTX 5050 8GB,8GB GDDR7,24GB 2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",60Wh,5.0MP with E-shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with USB PD 65-100W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",2.4 kg,2 Years,,Unknown,24.0,26626385,"1920 x 1080, 144 Hz",Gaming / Creator
HP,Victus 15-FA1097NE,Intel Core i7-13700H,Nvidia GeForce RTX 4050 6GB,6GB GDDR6 dedicated,16GB DDR4-3200 MT/s (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,"39.6 cm (15.6"") diagonal, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",2.29 kg,1 year,,Unknown,16.0,20999793,"1920 x 1080, 144 Hz",Gaming / Creator
HP,Victus 16-R0050NIA,Intel Core i7-13700H,Nvidia GeForce RTX 4050 6GB,6 GB GDDR6 dedicated,16 GB DDR5-5200 MT/s (2 x 8 GB),1 TB PCIe® Gen4 NVMe™ M.2 SSD,"40.9 cm (16.1"") diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",2.33 kg,1 year,,Unknown,16.0,22104855,"1920 x 1080, 144 Hz",Gaming / Creator
MSI,Sword 16 HX B14VFKG,Intel Core i7-14650HX,NVIDIA® GeForce RTX™ 4060,8GB GDDR6,16GB DDR5-5600 2*8,512GB NVMe PCIe SSD Gen4x4 w/o DRAM,"16"" 16:10 FHD+(1920 x 1200), 144Hz, IPS-level panel",4-Cell 65 Battery (Whr),HD type (30fps@720p) 3D Noise Reduction (3DNR),1x Type-C (USB3.2 Gen2 / DisplayPort™/ Power Delivery 3.0) 3x Type-A USB3.2 Gen1 1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz),2.3 kg,2 Years,,Unknown,16.0,28485186,"1920 x 1200, 144 Hz",Gaming / Creator
HP,Victus 15-FA1007NE,Intel Core i7-13700H,Nvidia GeForce RTX 3050 6GB,6 GB GDDR6 dedicated,16 GB DDR4-3200 MT/s (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,"39.6 cm (15.6"") diagonal, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",2.29 kg,1 year,,Unknown,16.0,20095487,"1920 x 1080, 144 Hz",Gaming / Creator
Lenovo,LOQ 15ARP9,AMD Ryzen™ 5 7235HS,NVIDIA® GeForce RTX™ 3050,6GB GDDR6,12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",60Wh,HD 720p with E-Shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",2.38 kg,1 Year,,Unknown,12.0,16694358,"1920 x 1080, 144 Hz",Gaming / Creator
Lenovo,LOQ 15IRX9,Intel® Core™ i7-13650HX,NVIDIA® GeForce RTX™ 3050,6GB GDDR6,24GB 2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",Integrated 60Wh,FHD 1080p with E-shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",2.38 kg,1 Year,,Unknown,24.0,22433223,"1920 x 1080, 144 Hz",Gaming / Creator
ASUS,ROG Strix G16 G615LR-GR132W,Intel Core Ultra 9 275HX,Nvidia GeForce RTX 5070Ti 12GB,12GB GDDR7,32GB DDR5-5600 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) IPS-level anti-glare display sRGB: 100% Refresh Rate: 165Hz Response Time: 3ms G-Sync MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes","90WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 3x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x 2.5G LAN port 2x Thunderbolt™ 5 with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 120Gbps),2.65 Kg,1 Year,,Unknown,32.0,53997102,"1920x1200, 165 HZ",Gaming / Creator
ASUS,ROG Zephyrus G14 GA403WR-WH320W,AMD Ryzen™ AI 9 HX 370,Nvidia GeForce RTX 5070 Ti,12GB GDDR7,32GB,1TB PCIe® 4.0 NVMe™ M.2 SSD,14-inch 3K OLED 16:10 aspect ratio 120Hz,"73WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x Type-C USB 4 with support for DisplayPort™ / power delivery (data speed up to 40Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 10Gbps) 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x card re,1.57 Kg,1 Year,,Unknown,32.0,51797604,"2880 x 1800, 120 Hz",Gaming / Creator
ASUS,ROG Strix SCAR 18 G835LW-AI642W,Intel Core Ultra 9 275HX,Nvidia GeForce RTX 5080 16GB,16GB GDDR7,64GB,2TB PCIe® 4.0 NVMe™ M.2 Performance SSD,"ROG Nebula HDR Display 18-inch 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio Mini LED Anti-glare display DCI-P3: 100% Refresh Rate: 240Hz G-Sync Pantone Validated MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes",4-cell 90Wh 4S1P lithium-ion battery,1080P FHD IR Camera for Windows Hello,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 3x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x 2.5G LAN port 2x Thunderbolt™ 5 with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 120Gbps),3.30 Kg,1 year,,Unknown,64.0,81995807,"2560 x 1600, 240 HZ",Gaming / Creator
ASUS,ROG Zephyrus G14 GA403WR-GR320W,AMD Ryzen™ AI 9 HX 370,Nvidia GeForce RTX 5070 Ti,12GB GDDR7,32GB,1TB PCIe® 4.0 NVMe™ M.2 SSD,14-inch 3K OLED 16:10 aspect ratio 120Hz,"73WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x Type-C USB 4 with support for DisplayPort™ / power delivery (data speed up to 40Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 10Gbps) 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x card re,1.57 Kg,1 Year,,Unknown,32.0,51797604,"2880 x 1800, 120 Hz",Gaming / Creator
ASUS,ROG Zephyrus G16 GU605CW-WH164W,Intel Core Ultra 9 285H,Nvidia GeForce RTX 5080 16GB,16GB GDDR7,64GB LPDDR5X on board,2TB PCIe® 4.0 NVMe™ M.2 SSD,"ROG Nebula Display 16-inch 2.5K (2560 x 1600, WQXGA) OLED 16:10 aspect ratio OLED glossy display DCI-P3: 100% Refresh Rate: 240Hz G-Sync Pantone Validated MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes","90WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 1x USB 3.2 Gen 2 Type-C support displayport / power delivery / G-SYNC 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x Thunderbolt™ 4 with support for DisplayPort™ / power delivery (data speed up to 40Gbps) 1x,1.95 Kg,1 Year,,Unknown,64.0,75996085,"2560 x 1600, 240 HZ",Gaming / Creator
Lenovo,LOQ 15IAX9,Intel Core i5-12600HX,Nvidia GeForce RTX 3050,6GB GDDR6,12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",60Wh,HD 720p with E-Shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",2.38 kg,2 Years,,Unknown,12.0,18549576,"1920x1080, 144 Hz",Gaming / Creator
MSI,Vector 16 HX A13VHG,Intel Core I9-13980HX,Nvidia GeForce RTX 4080 12GB,12GB,16GB Ram,1TB SSD,"16"" FHD+(1920 x 1200), 144Hz, IPS-level",4-Cell 90 Battery (Whr),HD type (30fps@720p) 3D Noise Reduction (3DNR),1x Thunderbolt™ 4 (DisplayPort™) 1x Type-C (USB3.2 Gen2 / DisplayPort™) 1x Type-C (USB3.2 Gen2 / DisplayPort™/ Power Delivery 3.0) 1x Type-A USB3.2 Gen1 1x Type-A USB3.2 Gen2 1x SD Express Card Reader 1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz) 1x RJ45,2.7 kg,1 year,,Unknown,16.0,48886538,"1920 x 1200, 144 Hz",Gaming / Creator
HP,Victus 16-R0328TX,Intel Core i7-13700HX,NVIDIA® GeForce RTX™ 4060 8GB,8GB GDDR6,16 GB DDR5-4800 MT/s (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,"40.9 cm (16.1"") diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",2.31 kg,1 year,,Unknown,16.0,23737580,"1920 x 1080, 144 Hz",Gaming / Creator
Dell,G15 5530,Intel Core i9-13900HX,Nvidia GeForce RTX 4060 8GB,8GB GDDR6,"32GB DDR5, 2x16GB, 4800MT/s","1TB, M.2, PCIe NVMe, SSD","15.6"" FHD 165Hz, 3ms, sRGB-100%, ComfortViewPlus ,NVIDIA G-SYNC+DDS Display","6-Cell Battery, 86WHr (Integrated)",,1 headset (headphone and microphone combo) port 1 RJ45 Ethernet port 3 USB 3.2 Gen 1 ports 1 HDMI 2.1 port 1 USB-C 3.2 Gen 2 port with DisplayPort™,2.81 kg,1 year,,Unknown,32.0,33598046,"1920 x 1080, 165 HZ",Gaming / Creator
HP,Victus 16-R0049NIA,Intel Core i7-13700H,Nvidia GeForce RTX 4050 6GB,6GB GDDR6 dedicated,16 GB DDR5-5200 MT/s (2 x 8 GB),1 TB PCIe® Gen4 NVMe™ M.2 SSD,"40.9 cm (16.1"") diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",2.33 kg,1 year,,Unknown,16.0,21702891,"1920 x 1080, 144 Hz",Gaming / Creator
